Key,Value
T1012,Software gathers product names from the Registry key: <code>HKLM\Software\Microsoft\Windows NT\CurrentVersion ProductName</code> and the processor description from the Registry key <code>HKLM\HARDWARE\DESCRIPTION\System\CentralProcessor\0 ProcessorNameString</code>.
T1205.001,Attacker has used a script that configures the knockd service and firewall to only accept C2 connections from systems that use a specified sequence of knock ports.
T1204.002,"During , the threat actors relied on a victim to open a PDF document and click on an embedded malicious link to download malware."
T1071.004,"Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server."
T1558.002,Adversaries who have the password hash of a target service account (e.g.
T1574.001,Often this location is the current working directory of the program.
T1005,Software can collect data from a compromised host.
T1055.014,Execution via VDSO hijacking may also evade detection from security products since the execution is masked under a legitimate process.
T1106,"Software used the <code>IsDebuggerPresent</code>, <code>OutputDebugString</code>, and <code>SetLastError</code> APIs to avoid debugging. Software used <code>GetProcAddress</code> and <code>LoadLibrary</code> to dynamically resolve APIs. Software also used the <code>Wow64SetThreadContext</code> API as part of a process hollowing process."
T1210,Attacker has exploited MS17-010 to move laterally to other systems on the network.
T1059.001,Attacker downloads and executes PowerShell scripts and performs PowerShell commands.
T1204.002,Attacker lured victims to double-click on images in the attachments they sent which would then execute the hidden LNK file.
T1566.004,"Spearphishing frequently involves social engineering techniques, such as posing as a trusted source ) and/or creating a sense of urgency or alarm for the recipient."
T1049,Commands such as <code>net use</code> and <code>net session</code> can be used in Software to gather information about network connections from a particular host.
T1550.002,Software can perform pass the hash.
T1557.002,This activity may be used to enable follow-on behaviors such as  or .
T1112,Software modifies several Registry keys under <code>HKCU\Software\Microsoft\Internet Explorer\ PhishingFilter\</code> to disable phishing filters.
T1119,"Attacker developed a file stealer to search C:\ and collect files with certain extensions. Attacker also executed a script to enumerate all drives, store them as a list, and upload generated files to the C2 server."
T1078.002,Software can use stolen domain admin accounts to move laterally within a victim domain.
T1611,Software’s container was configured to bind the host root directory.
T1204.002,Attacker has sent spearphishing emails in an attempt to lure users to click on a malicious attachment.
T1546.014,Examples of actions are to run a system command or send an email.
T1059.003,Attacker uses cmd.exe to execute commands on the victim’s machine.
T1105,Attacker has retrieved DLLs and installer binaries for malware execution from C2.
T1003.002,Software can be used to dump credentials from the SAM.
T1203,"Software can exploit Oracle Java vulnerabilities for execution, including CVE-2011-3544, CVE-2013-2465, CVE-2012-4681, and CVE-2013-2460."
T1553.002,Software can use self signed Java applets to execute signed applet attacks.
T1547.001,Software stores a configuration files in the startup directory to automatically execute commands in order to persist across reboots.
T1189,There are several known examples of this occurring.
T1525,"If an adversary has access to a compromised AWS instance, and permissions to list the available container images, they may implant a backdoor such as a ."
T1550.001,These frameworks are used collaboratively to verify the user and determine what actions the user is allowed to perform.
T1543.001,Software has installed multiple new Launch Agents in order to maintain persistence for cryptocurrency mining software.
T1566.002,Attacker has distributed targeted emails containing links to malicious documents with embedded macros.
T1137,Adversaries may leverage Microsoft Office-based applications for persistence between startups.
T1078.002,Attacker has used legitimate account credentials to move laterally through compromised environments.
T1015,"Examples for both methods:

For simple binary replacement on Windows XP and later as well as and Windows Server 2003/R2 and later, for example, the program  may be replaced with ""cmd.exe"" ."
T1140,Software can unpack and decrypt its payload prior to execution.
T1047,Software has the ability to use WMI to delete volume shadow copies.
T1546.011,"Within the framework, shims are created to act as a buffer between the program  and the Windows OS."
T1547.009,Software achieves persistence by creating a shortcut to itself in the CSIDL_STARTUP directory.
T1070.004,"Attacker routinely deleted tools, logs, and other files after they were finished with them."
T1222.001,Software can use Windows commands such as `fsutil behavior set SymLinkEvaluation R2L:1` to redirect file system access to a different location after gaining access into compromised networks.
T1158,"Similarly, the “+s” marks a file as a system file and the “+r” flag marks the file as read only."
T1140,Software can deobfuscate downloaded files stored in reverse byte order and decrypt embedded resources using multiple XOR operations.
T1586,"A variety of methods exist for compromising accounts, such as gathering credentials via , purchasing credentials from third-party sites, brute forcing credentials , or paying employees, suppliers or business partners for access to credentials."
T1547.012,"Alternatively, a print processor can be registered to the print spooler service by adding the <code>HKLM\SYSTEM\\\Control\Print\Environments\\\Print Processors\\\Driver</code> Registry key that points to the DLL."
T1010,Software can obtain application window titles and then determines which windows to perform Screen Capture on.
T1056.001,"Unlike , this focuses solely on API functions intended for processing keystroke data."
T1027.001,Software has added the entire unobfuscated code of the legitimate open source application Blink to its code.
T1070.004,Software can delete specified files.
T1005,Software searches the File system for files of interest.
T1027.001,Binary padding effectively changes the checksum of the file and can also be used to avoid hash-based blocklists and static anti-virus signatures.
T1547.006,"Examples have been found in the wild, and there are some relevant open source projects as well."
T1132.001,Software encodes the message body of HTTP traffic with Base64.
T1059.003,Software has the ability to run commands on a compromised host.
T1559.001,Software can use the `IARPUinstallerStringLauncher` COM interface are part of its UAC bypass process.
T1055,Software injects itself into explorer.exe.
T1001.003,"Software C2 traffic attempts to evade detection by resembling data generated by legitimate messenger applications, such as MSN and Yahoo! messengers. Additionally, some variants of Software use modified SSL code for communications back to C2 servers, making SSL decryption ineffective."
T1102.002,Attacker has used web services including OneHub to distribute remote access tools.
T1001.002,"When the Software command and control is operating over HTTP or HTTPS, Duqu uploads data to its controller by appending it to a blank JPG file."
T1204,Attacker has impersonated organization IT and helpdesk staff to instruct victims to execute commercial remote access tools to gain initial access.
T1590.005,Attacker has limited its watering hole attacks to specific IP address ranges.
T1159,Software adds a .plist file to the <code>/Library/LaunchAgents</code> folder to maintain persistence.
T1016.001,Software can measure the download speed on a targeted host.
T1045,Utilities used to perform software packing are called packers.
T1572,Software uses RDP to tunnel traffic from a victim environment.
T1518,Attacker has used tools to enumerate software installed on an infected host.
T1553.006,Code signing provides a level of authenticity on a program from a developer and a guarantee that the program has not been tampered with.
T1036.004,"Some Software variants add new services with display names generated by a list of hard-coded strings such as Application, Background, Security, and Windows, presumably as a way to masquerade as a legitimate service."
T1614.001,Software can use the <code>GetKeyboardLayout</code> API to check if a compromised host's keyboard is set to Persian.
T1005,Software collected information from a compromised host.
T1587.002,Code signing is the process of digitally signing executables and scripts to confirm the software author and guarantee that the code has not been altered or corrupted.
T1036.005,Software has used the Adobe Reader icon for the downloaded file to look more trustworthy.
T1055.004,"Running code in the context of another process may allow access to the process's memory, system/network resources, and possibly elevated privileges."
T1082,"During , the threat actors collected the computer name, OS, and other system information using `cmd /c systeminfo > %temp%\ temp.ini`."
T1016,Software obtains the victim IP address.
T1553.001,Code Signing – Gatekeeper checks for a valid code signature from an Apple Developer ID.
T1505.004,"Extensions and filters are deployed as DLL files that export three functions: <code>Get{Extension/Filter}Version</code>, <code>Http{Extension/Filter}Proc</code>, and  <code>Terminate{Extension/Filter}</code>."
T1195.002,Adversaries may manipulate application software prior to receipt by a final consumer for the purpose of data or system compromise.
T1016,"Software has the ability to enumerate the Wide Area Network  IP through requests to ip-apicom, freegeoipnet, or apiipifyorg observed with user-agent string `Mozilla/5.0  Gecko/20100101 Firefox/48.0`."
T1016,Software can use the Linux API `if_nameindex` to gather network interface names.
T1070.004,Software can self delete its dropper after the malware is successfully deployed.
T1113,Software can capture screenshots.
T1140,Software has decompressed its core DLL using shellcode once an impersonated antivirus component was running on a system.
T1003.002,Software collects Windows account hashes.
T1071.002,Software has used FTP for C2 communications.
T1205,"Software provides a reverse shell is triggered upon receipt of a packet with a special string, sent to any port."
T1059.005,Software can use VBScript to execute malicious code.
T1564.009,Resource fork content may also be obfuscated/encrypted until execution.
T1493,"By manipulating transmitted data, adversaries may attempt to affect a business process, organizational understanding, and decision making."
T1074.001,Software stores collected data in log files before exfiltration.
T1547.009,Adversaries may create or modify shortcuts that can execute a program during system boot or user login.
T1055.004,Software performs the injection by attaching its code into the APC queue using NtQueueApcThread API.
T1059.005,"VBA is an event-driven programming language built into Microsoft Office, as well as several third-party applications."
T1595.003,Adversaries may iteratively probe infrastructure using brute-forcing and crawling techniques.
T1560,Software stores zipped files with profile data from installed web browsers.
T1105,Attacker has downloaded additional malware and tools onto a compromised host.
T1059.003,"Software can spawn a command shell, and execute native commands."
T1027.013,Software can use a hardcoded one-byte XOR encoded configuration file.
T1059,Software has used cmd.exe to run a PowerShell script.
T1104,"Attacker has used one C2 to obtain enumeration scripts and monitor web logs, but a different C2 to send data back."
T1041,Software can exfiltrate data over the C2 channel.
T1056.001,Software can capture keystrokes on a compromised host.
T1048.003,Software can exfiltrate data directly to its C2 domain via HTTP.
T1096,Every New Technology File System  formatted partition contains a Master File Table  that maintains a record for every file/directory on the partition.
T1105,).
T1566.002,Attacker leveraged spearphishing emails with malicious links to initially compromise victims.
T1204.002,Software has gained execution through user interaction with a malicious file.
T1056.001,Software can log keystrokes on compromised hosts.
T1218.010,Adversaries may abuse Regsvr32.exe to proxy execution of malicious code.
T1057,Software can gather a list of processes.
T1082,Software has the ability to enumerate system information.
T1091,"If malware that is compatible with the connected system is on the mobile device, the malware could infect the machine ."
T1568.001,Attacker has used dynamic DNS service providers to host malicious domains.
T1552.004,"During the Attacker obtained PKI keys, certificate files, and the private encryption key from an Active Directory Federation Services  container to decrypt corresponding SAML signing certificates."
T1003.001,The SSP configuration is stored in two Registry keys: <code>HKLM\SYSTEM\CurrentControlSet\Control\Lsa\Security Packages</code> and <code>HKLM\SYSTEM\CurrentControlSet\Control\Lsa\OSConfig\Security Packages</code>.
T1003.001,"Software, and comsvcs.dll to dump Windows credentials from system memory."
T1529,Attacker has rebooted systems after destroying files and wiping the MBR on infected systems.
T1218.005,"There are several examples of different types of threats leveraging mshta.exe during initial compromise and for execution of code      

Mshta.exe is a utility that executes Microsoft HTML Applications  files."
T1113,Software can capture desktop screenshots in the PNG format and send them to the C2 server.
T1016,Software can determine the NetBios name and  the IP addresses of targets machines including domain controllers.
T1564.003,Software has hidden its GUI using the ShowWindow WINAPI call.
T1016,Software can collect the host's IP addresses using the <code>ipconfig</code> command.
T1204.002,"Software has used malicious files including VBS, LNK, and HTML for execution."
T1059,Software can launch a remote shell to execute commands on the victim’s machine.
T1065,"Software has been observed communicating over non standard ports, including 7080 and 50000."
T1518.001,Attacker can search for anti-virus software running on the system.
T1036.005,Attacker has disguised malicious installer files by bundling them with legitimate software installers.
T1012,Software has identified the OS product name from a compromised host by searching the registry for `SOFTWARE\MICROSOFT\Windows NT\ CurrentVersion | ProductName`.
T1518.001,Software can search for anti-virus products on the system.
T1218.010,Software can use `regsvr32.exe` for DLL execution.
T1574.001,Software has used search order hijacking to load a malicious DLL.
T1204.002,Attacker lured victims into clicking malicious files for machine reconnaissance and to execute malware.
T1547.004,Software has established persistence via the `Software\Microsoft\Windows NT\CurrentVersion\Winlogon` registry key.
T1056.001,Software can capture all keystrokes on a compromised host.
T1059.004,"Unix shells can control every aspect of a system, with certain commands requiring elevated privileges."
T1083,Software can scan directories on a compromised host.
T1588.002,Software.
T1204.001,Attacker has sent spearphishing emails in an attempt to lure users to click on a malicious link.
T1134.001,Attacker has used a malicious framework designed to impersonate the lsass.exe/vmtoolsd.exe token.
T1036.005,Software has masqueraded as a legitimate SolarWinds DLL.
T1083,Custom tools may also be used to gather file and directory information and interact with the .
T1498.002,"Likewise, one or more reflectors may be used to focus traffic on the target."
T1599.001,A typical example of this is environments where internal networks make use of non-Internet routable addresses.
T1572,Software can use spoofed DNS requests to create a bidirectional tunnel between a compromised host and its C2 servers.
T1047,Software has used WMI to recompile the Managed Object Format  files in the WMI repository.
T1555,"Software and other tools, including by dumping passwords saved in victim email."
T1140,Software has been decompressed by included shellcode prior to being launched.
T1118,InstallUtil is located in the .NET directories on a Windows system: <code>C:\Windows\Microsoft.NET\Framework\v<version>\InstallUtil.exe</code> and <code>C:\Windows\Microsoft.NET\Framework64\v<version>\InstallUtil.exe</code>.
T1562.004,Attacker used <code>netsh</code> to configure firewall rules that limited certain UDP outbound packets.
T1005,Software can be used to collect data from local file systems.
T1547.009,Software can use a .lnk shortcut for the Control Panel to establish persistence.
T1059,Adversaries may abuse these technologies in various ways as a means of executing arbitrary commands.
T1199,"In Office 365 environments, organizations may grant Microsoft partners or resellers delegated administrator permissions."
T1562.001,Software can download and execute AdvancedRun.exe to disable the Windows Defender Theat Protection service and set an exclusion path for the C:\ drive.
T1485,Adversaries may attempt to overwrite files and directories with randomly generated data to make it irrecoverable.
T1593.003,Attacker has searched public code repositories for exposed credentials.
T1573.001,Attacker has encrypted C2 communications with RC4.
T1165,"This is technically a deprecated version , and thus the appropriate folder, <code>/Library/StartupItems</code> isn’t guaranteed to exist on the system by default, but does appear to exist by default on macOS Sierra."
T1119,Software automatically collects files from the local system and removable drives based on a predefined list of file extensions on a regular timeframe.
T1546.012,Attacker has modified and added entries within <code>HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options</code> to maintain persistence.
T1614,"Software has conducted system locale checks to see if the compromised host is in Russia, Ukraine, Belarus, Armenia, Kazakhstan, or Moldova."
T1553.002,Attacker digitally signed an executable with a stolen certificate from legitimate company AI Squared.
T1027.013,"For , the threat actors used XOR-encrypted payloads."
T1497,"Some versions of Software will check to ensure it is not being executed inside a virtual machine or a known malware analysis sandbox environment. If it detects that it is, it will exit."
T1560.003,Software has used AES in CBC mode to encrypt collected data when saving that data to disk.
T1132.001,Software has the ability to base64 encode C2 server responses.
T1105,"During , the threat actors downloaded files and tools onto a victim machine."
T1218.015,"Due to the functional mechanics of Electron , adversaries may also be able to perform malicious functions in the background potentially disguised as legitimate tools within the framework."
T1518.001,Software has the ability to detect anti-virus products and processes on a compromised host.
T1583.001,"Attacker has acquired C2 domains, sometimes through resellers."
T1095,Software has used TCP in C2 communications.
T1135,Software can enumerate the shared folders and associated permissions for a targeted network.
T1021.002,"Software can use Software, which interacts with the <code>ADMIN$</code> network share to execute commands on remote systems."
T1220,]xml script[.
T1036.005,Software mimics filenames from %SYSTEM%\System32 to hide DLLs in %WINDIR% and/or %TEMP%.
T1114.001,Software has the ability to collect emails on a target system.
T1556.005,"In PowerShell, an adversary may make associated changes to user settings using commands similar to <code>Set-ADUser -AllowReversiblePasswordEncryption $true</code>."
T1059.001,Software is written and executed via PowerShell.
T1547.001,Attacker has added paths to executables in the Registry to establish persistence.
T1021.001,Attacker has used Remote Desktop to log on to servers interactively and manually copy files to remote hosts.
T1071.001,Software can parse web requests made to a targeted server to determine the next stage of execution.
T1584.001,Attacker hijacked FQDNs associated with legitimate websites hosted by hop points.
T1218.005,Attacker has used malicious HTA files to drop and execute malware.
T1083,Software has the capability to enumerate files.
T1059.003,Software has used `cmd.exe` to scan a compromised host for specific file extensions.
T1027,Software in which they obfuscated strings such as debug messages in an apparent attempt to evade detection.
T1132.001,Software can use standard encoding techniques like gzip and hex to ASCII to encode the C2 communication payload.
T1115,Software can download a clipboard information stealer module.
T1110,Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained.
T1564.005,Software has used a hidden file system to store some of its components.
T1070.004,Software can delete files.
T1037.002,"If a login hook already exists, adversaries can add additional commands to an existing login hook."
T1140,Software to decode a string into a cabinet file.
T1033,"On network devices,  commands such as `show users` and `show ssh` can be used to display users currently logged into the device."
T1067,"Adversaries may use bootkits to persist on systems at a layer below the operating system, which may make it difficult to perform full remediation unless an organization suspects one was used and can act accordingly."
T1573.001,Software has the ability to use AES-256 symmetric encryption in CBC mode with HMAC-SHA-256 to encrypt task commands and XOR to encrypt shell code and configuration data.
T1005,Software can collect data from an infected host.
T1562.004,Software can block the Deibold Warsaw GAS Tecnologia security tool at the firewall level.
T1053.005,"Attacker has used a macro function to set scheduled tasks, disguised as those used by Google."
T1574.007,"On macOS, this can also be performed through modifying the $HOME variable."
T1036.004,Attacker has named the task for a reverse proxy lpupdate to appear legitimate.
T1529,Software’s Linux variant has terminated ESXi virtual machines.
T1029,Software can sleep for a given number of seconds.
T1059.003,Software has the ability to execute shell commands.
T1505.003,"Attacker has commonly created Web shells on victims' publicly accessible email and web servers, which they used to maintain access to a victim network and download additional malicious files."
T1105,Software downloads its backdoor component from a C2 server and loads it directly into memory.
T1505.005,"Terminal Services allows servers to transmit a full, interactive, graphical user interface to clients via RDP."
T1198,"By pointing to a maliciously-crafted DLL with an exported function that always returns a known good signature value  rather than the file’s real signature, an adversary can apply an acceptable signature value to all files using that SIP  ."
T1070.004,Software has the ability to receive and execute a self-delete command.
T1001.001,Examples may include appending/prepending data with junk characters or writing junk characters between significant characters.
T1087.002,Attacker has used <code>net user /domain</code> to identify account information.
T1059.001,Software can execute a PowerShell script received from C2.
T1590.002,"Adversaries may gather this information in various ways, such as querying or otherwise collecting details via ."
T1140,Software has the ability to decrypt AES encrypted payloads.
T1566.001,Attacker has used weaponized documents attached to spearphishing emails for reconnaissance and initial compromise.
T1568.002,"This has the advantage of making it much harder for defenders to block, track, or take over the command and control channel, as there potentially could be thousands of domains that malware can check for instructions."
T1078.003,During the Attacker used compromised local accounts to access victims' networks.
T1587.004,"Rather than finding/modifying exploits from online or purchasing them from exploit vendors, an adversary may develop their own exploits."
T1056.001,Software captures keystrokes.
T1070.004,Software can delete the DLLs for its various components from a compromised host.
T1041,"Software can execute commands, including gathering user information, and send the results to C2."
T1071.001,Software has the ability to use HTTP in C2 communications.
T1082,"Software can collect information related to a compromised host, including OS version and a list of drives."
T1548,Authorization has to be granted to specific users in order to perform tasks that can be considered of higher risk.
T1499.002,The SSL/TLS protocol suite includes mechanisms for the client and server to agree on an encryption algorithm to use for subsequent secure connections.
T1585.001,These connections may be direct or may include trying to connect through others.
T1614,"In cloud environments, an instance's availability zone may also be discovered by accessing the instance metadata service from the instance."
T1585.002,Attacker has established e-mail accounts to receive e-mails forwarded from compromised accounts.
T1204.001,Attacker has relied upon users clicking on links to malicious files.
T1583.001,Attacker has registered look-alike domains for use in phishing campaigns.
T1498,"In 2016, Attacker conducted a distributed denial of service  attack against the World Anti-Doping Agency."
T1027.013,"In one version of Software, string obfuscation routines were used to hide many of the critical values referenced in the malware."
T1037.003,"Depending on the access configuration of the logon scripts, either local credentials or an administrator account may be necessary."
T1070.004,Software to remove artifacts from victim networks.
T1105,Attacker has downloaded and installed web shells to following path <code>C:\inetpub\wwwroot\aspnet_client\system_web\IISpool.aspx</code>.
T1069.002,During the Software to enumerate domain groups.
T1547.003,W32Time time providers are responsible for retrieving time stamps from hardware/network resources and outputting these values to other network clients.
T1087.001,Commands such as <code>net user</code> and <code>net localgroup</code> of the Software utility and <code>id</code> and <code>groups</code> on macOS and Linux can list local users and groups.
T1499.001,"With SYN floods, excessive amounts of SYN packets are sent, but the 3-way TCP handshake is never completed."
T1497.003,or employ scheduled  to avoid analysis and scrutiny.
T1648,"Similarly, an adversary may create a Power Automate workflow in Office 365 environments that forwards all emails a user receives or creates anonymous sharing links whenever a user is granted access to a document in SharePoint."
T1564.004,Software stores configuration items in alternate data streams  if the Registry is not accessible.
T1204.001,Attacker has lured victims to click malicious links delivered via spearphishing emails .
T1553.001,"Checks extended attribute – Gatekeeper checks for the quarantine flag, then provides an alert prompt to the user to allow or deny execution."
T1568.001,"The simplest, ""single-flux"" method, involves registering and de-registering an addresses as part of the DNS A  record list for a single DNS name."
T1573.002,Software can use TLS in C2 communications.
T1113,Software can take screenshots of the victim machine.
T1202,Adversaries may abuse utilities that allow for command execution to bypass security restrictions that limit the use of command-line interpreters.
T1137.001,Adversaries may abuse Microsoft Office templates to obtain persistence on a compromised system.
T1620,Software's downloader can reverse its third stage file bytes and reflectively load the file as a .NET assembly.
T1106,Software uses various API to perform behaviors such as executing payloads and performing local enumeration.
T1567,Software has exfiltrated files using web services.
T1546.014,The emond binary at <code>/sbin/emond</code> will load any rules from the <code>/etc/emond.d/rules/</code> directory and take action once an explicitly defined event takes place.
T1561.001,Adversaries may erase the contents of storage devices on specific systems or in large numbers in a network to interrupt availability to system and network resources.
T1071.001,Software can use HTTP for C2.
T1036.005,"Software has used names to mimic legitimate software including ""vmtoolsd.exe"" to spoof Vmtools."
T1218.011,Adversaries may abuse rundll32.exe to proxy execution of malicious code.
T1567.002,Examples of cloud storage services include Dropbox and Google Docs.
T1027.013,Software can use encrypted string blocks for obfuscation.
T1560.001,Attacker has used WinRAR and 7-Zip to compress an archive stolen data.
T1598.002,"All forms of spearphishing are electronically delivered social engineering targeted at a specific individual, company, or industry."
T1036.004,"Software has created a scheduled task named ""MicrosoftEdge"" to establish persistence."
T1113,Software can capture a screenshot of the current screen.
T1039,Attacker has collected files from network shared drives.
T1046,Attacker has used masscan to search for open Docker API ports and Kubernetes clusters. Attacker has also used malware that utilizes zmap and zgrab to search for vulnerable services in cloud environments.
T1485,"In cloud environments, adversaries may leverage access to delete cloud storage, cloud storage accounts, machine images, and other infrastructure crucial to operations to damage an organization or their customers."
T1027.013,The Software payload is encrypted with AES-128.
T1205.001,"To enable a port, an adversary sends a series of attempted connections to a predefined sequence of closed ports."
T1110.003,"'Password01'), or a small list of commonly used passwords, that may match the complexity policy of the domain."
T1078.004,"High privileged cloud accounts, whether federated, synced, or cloud-only, may also allow pivoting to on-premises environments by leveraging SaaS-based  to run commands on hybrid-joined devices."
T1113,Attacker has a tool called CANDYKING to capture a screenshot of user's desktop.
T1016,Software has the ability to determine the domain name and whether a proxy is configured on a compromised host.
T1583.001,"Attacker has registered domains to mimic file sharing, government, defense, and research websites for use in targeted campaigns."
T1480,"Software can call <code>window.location.pathname</code> to ensure that embedded files are being executed from the C: drive, and will terminate if they are not."
T1657,Adversaries may use dedicated leak sites to distribute victim data.
T1140,A Software to decode base64-encoded files on victims.
T1056.001,Attacker has used several different keyloggers.
T1012,"Attacker malware IndiaIndia checks Registry keys within HKCU and HKLM to determine if certain applications are present, including SecureCRT, Terminal Services, RealVNC, TightVNC, UltraVNC, Radmin, mRemote, TeamViewer, FileZilla, pcAnyware, and Remote Desktop. Another Attacker malware sample checks for the presence of the following Registry key:<code>HKEY_CURRENT_USER\Software\Bitcoin\Bitcoin-Qt</code>."
T1049,Software used the Windows function <code>GetExtendedUdpTable</code> to detect connected UDP endpoints.
T1036.005,Software has renamed malicious code to `msacm32.dll` to hide within a legitimate library; earlier versions were disguised as `winhelp`.
T1485,"During the Software on the victim’s IT environment systems to wipe files related to the OT capabilities, along with mapped drives, and physical drive partitions."
T1003,Attacker used a signed credential-dumping tool to obtain victim account credentials.
T1071.001,Software has used HTTP for C2.
T1132.002,Software can communicate with the C2 via subdomains that utilize base64 with character substitutions.
T1140,Software can decode its encoded PE file prior to execution.
T1211,There are examples of antivirus software being targeted by persistent threat groups to avoid detection.
T1189,"During , the threat actors used a watering hole attack on a popular software reseller to exploit the then-zero-day Internet Explorer vulnerability CVE-2014-0322."
T1135,Attacker listed remote shared drives that were accessible from a victim.
T1573.001,Attacker has communicated with a C2 via an encrypted RC4 byte stream and AES-CBC.
T1586.002,Attacker has compromised email accounts to send spearphishing e-mails.
T1592.003,"Information about host firmware may include a variety of details such as type and versions on specific hosts, which may be used to infer more information about hosts in the environment ."
T1562.001,"Software has searched for the Activity Monitor process in the System Events process list and kills the process if running. Software also searches the operating system's `install.log` for apps matching its hardcoded list, killing all matching process names."
T1558.003,Adversaries possessing a valid Kerberos ticket-granting ticket  may request one or more Kerberos ticket-granting service  service tickets for any SPN from a domain controller .
T1021.002,Software propagates to available network shares.
T1543.003,Attacker has installed a service pointing to a malicious DLL dropped to disk.
T1553.006,Attacker has modified variables in kernel memory to turn off Driver Signature Enforcement after exploiting vulnerabilities that obtained kernel mode privileges.
T1574.004,"Based on the application, this could result in privilege escalation and uninhibited network access."
T1106,Software has the ability to leverage API including `GetProcAddress` and `LoadLibrary`.
T1574.001,Software has performed DLL hijacking before execution.
T1665,Hiding C2 infrastructure may also be supported by  activities such as  and .
T1665,During the Attacker set the hostnames of their C2 infrastructure to match legitimate hostnames in the victim environment. They also used IP addresses originating from the same country as the victim for their VPN infrastructure.
T1542.002,Attacker is known to have the capability to overwrite the firmware on hard drives from some manufacturers.
T1547.001,Software establishes persistence by creating the Registry key <code>HKCU\Software\Microsoft\Windows\Run</code>.
T1027.003,Software has used image files to hide its loader component.
T1518,Software can list the installed applications on a compromised host.
T1218.011,"Attacker uses rundll32 to load various tools on victims, including a lateral movement tool named Vminst, Cobalt Strike, and shellcode."
T1059.004,Software can use Unix shell script for command execution.
T1564.001,"Files and folders that start with a period, ‘.’, are by default hidden from being viewed in the Finder application and standard command-line utilities like “ls”."
T1056.001,Software contains a custom keylogger.
T1547,Software established persistence by setting the <code>HKEY_CURRENT_USER\Software\Microsoft\Windows NT\CurrentVersion\Windows\load</code> registry key to point to its executable.
T1497.003,Software has the ability to sleep for at least nine minutes to evade sandbox-based analysis systems.
T1608.005,Attacker has created a link to a Dropbox file that has been used in their spear-phishing operations.
T1041,Software has exfiltrated data to the C2 server.
T1027.010,Attacker used Base64 to obfuscate executed commands.
T1043,Software uses port 80 for C2.
T1147,There is a property value in <code>/Library/Preferences/com.apple.loginwindow</code> called <code>Hide500Users</code> that prevents users with userIDs 500 and lower from appearing at the login screen.
T1053.005,Attacker used a compromised account to create a scheduled task on a system.
T1003.008,Adversaries may attempt to dump the contents of <code>/etc/passwd</code> and <code>/etc/shadow</code> to enable offline password cracking.
T1056.002,Software presents an input prompt asking for the user's login and password.
T1027.013,Software has been obfuscated and contains encrypted functions.
T1105,Software used SCP to update the miner from the C2.
T1059.005,Attacker has used VBScript code on the victim's machine.
T1501,Software has a hardcoded location under systemd that it uses to achieve persistence if it is running as root.
T1136.003,"In GCP, service accounts can also be linked to specific resources, as well as be impersonated by other accounts for ."
T1548.003,Adversaries can also abuse poor configurations of these mechanisms to escalate privileges without needing the user's password.
T1205.002,"To establish a connection, an adversary sends a crafted packet to the targeted host that matches the installed filter criteria."
T1546.012,IFEOs can be set directly via the Registry or in Global Flags via the GFlags tool.
T1217,Attacker has used <code>type \\<hostname>\c$\Users\<username>\Favorites\Links\Bookmarks bar\Imported From IE\*citrix*</code> for bookmark discovery.
T1071.002,Software uses FTP and FTPS to communicate with the C2 server.
T1090.001,Attacker has used local servers with both local network and Internet access to act as internal proxy nodes to exfiltrate data from other parts of the network without direct Internet access.
T1564.002,The method an adversary may use depends on which Display Manager the distribution is currently using.
T1082,Software can identify the computer name of a compromised host.
T1059,Attacker has used Ruby scripts to execute payloads.
T1568,"During , threat actors used dynamic DNS services for C2."
T1136.003,"In addition to user accounts, cloud accounts may be associated with services."
T1036.005,Software has masqueraded as a 7zip installer.
T1081,Adversaries may search local file systems and remote file shares for files containing passwords.
T1071.001,Software can use HTTPS and HTTPS for C2 communication.
T1059.001,Software has used PowerShell commands to download additional files.
T1574.008,Software contains modules that can discover and exploit search order hijacking vulnerabilities.
T1113,Software can take screenshots and send them to an actor-controlled C2 server.
T1027.002,"During , threat actors used software packing in its tools."
T1587.004,"Use of a contractor may be considered an extension of that adversary's exploit development capabilities, provided the adversary plays a role in shaping requirements and maintains an initial degree of exclusivity to the exploit."
T1546.003,Attacker used WMI event subscriptions for persistence.
T1489,"In some cases, adversaries may stop or disable many or all services to render systems unusable."
T1083,Software can list file and directory information.
T1595.001,"Information from these scans may reveal opportunities for other forms of reconnaissance  or ), establishing operational resources  or ), and/or initial access )."
T1053,Software schedules the execution one of its modules by creating a new scheduler task.
T1016.001,"The results may also be used to identify routes, redirectors, and proxy servers."
T1021.002,Software can infect victims by brute forcing SMB.
T1108,Attacker has deployed backup web shells and obtained OWA account credentials during intrusions that it subsequently used to attempt to regain access when evicted from a victim network.
T1033,Software runs <code>whoami</code> on the victim’s machine.
T1073,Programs may specify DLLs that are loaded at runtime.
T1106,Software can use various Linux API functions including those for execution and discovery.
T1071.001,Software can initiate communication over HTTP/HTTPS for its C2 server.
T1018,Software can be used to identify remote systems within a network.
T1218.004,Software has used Installutill to download content.
T1030,Software will break large data sets into smaller chunks for exfiltration.
T1056.001,Software has used a Python tool named klog.exe for keylogging.
